Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
alive.rpl           : Nb alive replicates
n.adlt.fst_p10-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 15
n.adlt.fst_p10-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 16
n.adlt.fst_p10-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 17
n.adlt.fst_p10-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 18
n.adlt.fst_p10-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 19
n.adlt.fst_p10-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 20
n.adlt.fst_p10-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 21
n.adlt.fst_p10-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 22
n.adlt.fst_p10-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 23
n.adlt.fst_p10-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 24
n.adlt.fst_p11-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 12
n.adlt.fst_p11-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 13
n.adlt.fst_p11-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 14
n.adlt.fst_p11-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 15
n.adlt.fst_p11-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 16
n.adlt.fst_p11-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 17
n.adlt.fst_p11-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 18
n.adlt.fst_p11-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 19
n.adlt.fst_p11-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 20
n.adlt.fst_p11-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 21
n.adlt.fst_p11-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 22
n.adlt.fst_p11-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 23
n.adlt.fst_p11-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 11 and 24
n.adlt.fst_p12-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 13
n.adlt.fst_p12-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 14
n.adlt.fst_p12-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 15
n.adlt.fst_p12-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 16
n.adlt.fst_p12-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 17
n.adlt.fst_p12-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 18
n.adlt.fst_p12-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 19
