generation  	alive.rpl   	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
189         	1           	2907        	3           	2.019       	483         	492         	486         	491         	477         	478         
190         	1           	2927        	2           	2.017       	487         	496         	495         	488         	482         	479         
191         	1           	2911        	2.5         	2.037       	486         	474         	491         	493         	483         	484         
192         	1           	2893        	3.5         	1.987       	479         	478         	496         	468         	491         	481         
193         	1           	2904        	3.167       	2.03        	486         	484         	485         	476         	498         	475         
194         	1           	2910        	2.667       	2.037       	487         	487         	478         	481         	497         	480         
195         	1           	2919        	3           	2.015       	488         	488         	483         	478         	498         	484         
196         	1           	2918        	2.667       	1.982       	485         	479         	487         	487         	493         	487         
197         	1           	2914        	1.5         	2.075       	491         	471         	488         	486         	493         	485         
198         	1           	2910        	4.167       	2.012       	486         	475         	487         	492         	483         	487         
199         	1           	2911        	1.833       	1.973       	487         	474         	493         	492         	479         	486         
200         	1           	2928        	2.833       	2.012       	488         	481         	490         	495         	485         	489         
