generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2	alive.rpl   
461         	10          	0.003879    	0.003467    	0.004299    	1           
462         	10          	0.004208    	0.004115    	0.004302    	1           
463         	10          	0.004367    	0.003564    	0.005188    	1           
464         	10          	0.004532    	0.003877    	0.005201    	1           
465         	10          	0.004564    	0.003639    	0.005509    	1           
466         	10          	0.004568    	0.003698    	0.005457    	1           
467         	10          	0.004563    	0.003563    	0.005587    	1           
468         	10          	0.004352    	0.003567    	0.005155    	1           
469         	10          	0.004582    	0.003395    	0.005798    	1           
470         	10          	0.004342    	0.002942    	0.005776    	1           
471         	10          	0.004352    	0.002975    	0.005764    	1           
472         	10          	0.004359    	0.003028    	0.005725    	1           
473         	10          	0.004169    	0.002816    	0.005557    	1           
474         	10          	0.004045    	0.002841    	0.005281    	1           
475         	10          	0.003742    	0.002748    	0.004764    	1           
476         	10          	0.003733    	0.003043    	0.004442    	1           
477         	10          	0.003478    	0.002743    	0.004234    	1           
478         	10          	0.003126    	0.002321    	0.003953    	1           
479         	10          	0.00342     	0.002752    	0.004108    	1           
480         	10          	0.003707    	0.003018    	0.004415    	1           
481         	10          	0.003965    	0.003149    	0.004803    	1           
482         	10          	0.003764    	0.002754    	0.004798    	1           
483         	10          	0.00353     	0.002494    	0.004591    	1           
484         	10          	0.003381    	0.002618    	0.004162    	1           
485         	10          	0.0032      	0.002645    	0.00377     	1           
486         	10          	0.003376    	0.002909    	0.003855    	1           
487         	10          	0.003267    	0.002781    	0.003765    	1           
488         	10          	0.003245    	0.002789    	0.003712    	1           
489         	10          	0.00344     	0.003028    	0.003864    	1           
490         	10          	0.003485    	0.003069    	0.003911    	1           
491         	10          	0.003567    	0.002963    	0.004185    	1           
492         	10          	0.003482    	0.002927    	0.004049    	1           
493         	10          	0.003699    	0.003041    	0.004371    	1           
494         	10          	0.00335     	0.0031      	0.003606    	1           
495         	10          	0.003836    	0.003333    	0.00435     	1           
496         	10          	0.003856    	0.0036      	0.004117    	1           
497         	10          	0.004085    	0.003724    	0.004453    	1           
498         	10          	0.003901    	0.003407    	0.004405    	1           
499         	10          	0.004179    	0.003841    	0.004523    	1           
500         	10          	0.004546    	0.004436    	0.004659    	1           
501         	10          	0.004732    	0.004653    	0.004812    	1           
502         	10          	0.005076    	0.005014    	0.005138    	1           
503         	10          	0.004624    	0.004232    	0.005024    	1           
504         	10          	0.004276    	0.004273    	0.00428     	1           
505         	10          	0.00379     	0.003853    	0.003725    	1           
506         	10          	0.003622    	0.003499    	0.003749    	1           
507         	10          	0.003424    	0.00303     	0.003827    	1           
508         	10          	0.003734    	0.003322    	0.004155    	1           
509         	10          	0.003745    	0.003276    	0.004224    	1           
