generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
280         	1           	10          	0.05894     	0.08095     	0.03652     
281         	1           	10          	0.05749     	0.07885     	0.03575     
282         	1           	10          	0.06021     	0.08397     	0.03605     
283         	1           	10          	0.05956     	0.08229     	0.03643     
284         	1           	10          	0.05871     	0.08008     	0.03693     
285         	1           	10          	0.05856     	0.07915     	0.03757     
286         	1           	10          	0.05817     	0.07802     	0.03793     
287         	1           	10          	0.05789     	0.07798     	0.03734     
288         	1           	10          	0.05791     	0.07836     	0.03701     
289         	1           	10          	0.05796     	0.07782     	0.03766     
290         	1           	10          	0.0579      	0.07671     	0.03866     
291         	1           	10          	0.05729     	0.07583     	0.03835     
292         	1           	10          	0.05707     	0.07587     	0.03789     
293         	1           	10          	0.05759     	0.07698     	0.03784     
294         	1           	10          	0.05516     	0.07299     	0.03697     
295         	1           	10          	0.056       	0.07493     	0.0367      
296         	1           	10          	0.0551      	0.07453     	0.03531     
297         	1           	10          	0.05507     	0.07491     	0.03488     
298         	1           	10          	0.05458     	0.07532     	0.03343     
299         	1           	10          	0.0559      	0.0763      	0.03507     
300         	1           	10          	0.0564      	0.07846     	0.03387     
301         	1           	10          	0.05655     	0.07996     	0.03264     
302         	1           	10          	0.05589     	0.07958     	0.03169     
303         	1           	10          	0.05624     	0.08014     	0.03181     
304         	1           	10          	0.05437     	0.07742     	0.03082     
305         	1           	10          	0.05616     	0.08174     	0.03003     
306         	1           	10          	0.05385     	0.078       	0.0292      
307         	1           	10          	0.05344     	0.07656     	0.02986     
308         	1           	10          	0.0526      	0.07365     	0.03115     
309         	1           	10          	0.05199     	0.07436     	0.0292      
310         	1           	10          	0.05133     	0.07391     	0.02832     
311         	1           	10          	0.05237     	0.07561     	0.02872     
312         	1           	10          	0.05102     	0.07408     	0.02753     
313         	1           	10          	0.05069     	0.07304     	0.02791     
314         	1           	10          	0.0489      	0.06956     	0.02782     
315         	1           	10          	0.04765     	0.06706     	0.02786     
316         	1           	10          	0.04729     	0.06797     	0.02623     
317         	1           	10          	0.04748     	0.06875     	0.02582     
318         	1           	10          	0.04816     	0.06996     	0.02596     
319         	1           	10          	0.04717     	0.06697     	0.02699     
320         	1           	10          	0.04784     	0.06829     	0.027       
321         	1           	10          	0.04716     	0.06621     	0.02772     
322         	1           	10          	0.04698     	0.06631     	0.02725     
323         	1           	10          	0.04678     	0.0652      	0.02797     
324         	1           	10          	0.04783     	0.06698     	0.02824     
325         	1           	10          	0.04819     	0.06749     	0.02845     
326         	1           	10          	0.04808     	0.06765     	0.02806     
327         	1           	10          	0.04754     	0.06745     	0.02713     
328         	1           	10          	0.04687     	0.06669     	0.02654     
329         	1           	10          	0.04648     	0.06643     	0.02601     
330         	1           	10          	0.04708     	0.06773     	0.02589     
331         	1           	10          	0.04733     	0.06834     	0.02574     
332         	1           	10          	0.04734     	0.06768     	0.02646     
333         	1           	10          	0.04861     	0.06769     	0.02898     
334         	1           	10          	0.04943     	0.06935     	0.02894     
335         	1           	10          	0.04862     	0.06944     	0.0272      
336         	1           	10          	0.04747     	0.06779     	0.02655     
337         	1           	10          	0.04579     	0.06504     	0.02593     
338         	1           	10          	0.04507     	0.0641      	0.02545     
339         	1           	10          	0.04514     	0.06384     	0.02586     
340         	1           	10          	0.04536     	0.064       	0.02614     
341         	1           	10          	0.04585     	0.06576     	0.02536     
342         	1           	10          	0.0469      	0.0672      	0.02602     
343         	1           	10          	0.04702     	0.06843     	0.02494     
344         	1           	10          	0.04547     	0.06485     	0.0255      
345         	1           	10          	0.04523     	0.06429     	0.02559     
346         	1           	10          	0.04391     	0.06224     	0.02507     
347         	1           	10          	0.04223     	0.05922     	0.02472     
348         	1           	10          	0.04262     	0.05828     	0.02645     
349         	1           	10          	0.04308     	0.0578      	0.02789     
350         	1           	10          	0.04262     	0.05684     	0.02797     
351         	1           	10          	0.0437      	0.05831     	0.02866     
352         	1           	10          	0.04265     	0.05611     	0.02879     
353         	1           	10          	0.04227     	0.05445     	0.02974     
354         	1           	10          	0.04429     	0.05679     	0.03143     
355         	1           	10          	0.04434     	0.05742     	0.03088     
356         	1           	10          	0.04442     	0.05576     	0.03274     
357         	1           	10          	0.04543     	0.05552     	0.03503     
358         	1           	10          	0.04451     	0.05427     	0.03446     
359         	1           	10          	0.04448     	0.05383     	0.03486     
360         	1           	10          	0.04525     	0.05535     	0.03487     
361         	1           	10          	0.04625     	0.05696     	0.03524     
362         	1           	10          	0.04592     	0.05547     	0.03611     
363         	1           	10          	0.04702     	0.05831     	0.03541     
364         	1           	10          	0.04805     	0.05925     	0.03654     
365         	1           	10          	0.0482      	0.0595      	0.03658     
366         	1           	10          	0.04893     	0.06014     	0.03739     
367         	1           	10          	0.04837     	0.05909     	0.03733     
368         	1           	10          	0.04761     	0.0579      	0.03703     
369         	1           	10          	0.04655     	0.05572     	0.03713     
370         	1           	10          	0.04497     	0.05368     	0.03602     
371         	1           	10          	0.04424     	0.05283     	0.03539     
372         	1           	10          	0.04485     	0.0531      	0.03633     
