generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
106         	18          	0.9506      	2.607e+05   	0.6921      	5.044e+04   	4.386e+04   	2.986e+04   	3.555e+04   	3.044e+04   	1.215e+04   
107         	18          	1.052       	2.687e+05   	0.3704      	5.154e+04   	4.722e+04   	2.878e+04   	3.35e+04    	2.657e+04   	1.14e+04    
108         	18          	1.052       	2.629e+05   	0.2923      	5.214e+04   	4.738e+04   	2.741e+04   	3.165e+04   	2.284e+04   	1.062e+04   
109         	18          	1.052       	3.532e+05   	0.5935      	5.199e+04   	5.207e+04   	2.595e+04   	2.981e+04   	1.95e+04    	3.035e+04   
110         	18          	1.052       	3.626e+05   	0.1533      	5.255e+04   	5.148e+04   	2.496e+04   	3.226e+04   	2.476e+04   	2.892e+04   
111         	18          	0.5833      	3.362e+05   	0.3508      	5.225e+04   	5.549e+04   	2.418e+04   	3.155e+04   	2.166e+04   	2.716e+04   
112         	18          	1.321       	3.487e+05   	0.7476      	5.228e+04   	5.565e+04   	2.358e+04   	3.187e+04   	1.884e+04   	2.541e+04   
113         	18          	0.8889      	3.384e+05   	0.2605      	5.245e+04   	5.496e+04   	2.318e+04   	3.139e+04   	1.65e+04    	3.16e+04    
114         	18          	1.386       	3.397e+05   	0.4654      	5.227e+04   	5.451e+04   	2.314e+04   	3.083e+04   	1.479e+04   	2.985e+04   
115         	18          	1.21        	3.367e+05   	0.5675      	5.226e+04   	5.322e+04   	3.223e+04   	3.018e+04   	1.361e+04   	2.752e+04   
116         	18          	1.052       	3.351e+05   	0.2069      	5.154e+04   	5.197e+04   	3.218e+04   	2.875e+04   	1.241e+04   	2.506e+04   
117         	18          	1.164       	3.43e+05    	0.3903      	5.128e+04   	4.94e+04    	4.689e+04   	2.72e+04    	1.169e+04   	2.27e+04    
118         	18          	1.728       	4.021e+05   	0.6999      	5.176e+04   	4.861e+04   	5.545e+04   	2.492e+04   	1.104e+04   	1.989e+04   
119         	18          	1.275       	3.966e+05   	0.8685      	5.226e+04   	4.756e+04   	5.433e+04   	2.276e+04   	1.045e+04   	1.845e+04   
120         	18          	1.361       	3.731e+05   	0.6576      	5.24e+04    	4.608e+04   	5.391e+04   	2.982e+04   	9594        	1.641e+04   
121         	18          	1.284       	3.587e+05   	0.2694      	5.109e+04   	4.549e+04   	5.424e+04   	2.773e+04   	8481        	1.47e+04    
