replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	370         	10          	0.001567    	0.00113     	0.002011    
1           	371         	10          	0.001574    	0.00123     	0.001924    
1           	372         	10          	0.001504    	0.001287    	0.001724    
1           	373         	10          	0.001528    	0.001242    	0.001819    
1           	374         	10          	0.001448    	0.001406    	0.00149     
1           	375         	10          	0.001441    	0.001384    	0.0015      
1           	376         	10          	0.001431    	0.001482    	0.001379    
1           	377         	10          	0.001633    	0.001563    	0.001706    
1           	378         	10          	0.001815    	0.001881    	0.001748    
1           	379         	10          	0.001828    	0.001784    	0.001872    
1           	380         	10          	0.001867    	0.001658    	0.00208     
1           	381         	10          	0.001716    	0.001678    	0.001756    
1           	382         	10          	0.001708    	0.001704    	0.001712    
1           	383         	10          	0.001757    	0.001767    	0.001746    
1           	384         	10          	0.001458    	0.001878    	0.001032    
1           	385         	10          	0.001492    	0.001831    	0.001149    
1           	386         	10          	0.002055    	0.002445    	0.001659    
1           	387         	10          	0.001774    	0.002096    	0.001447    
1           	388         	10          	0.001679    	0.001795    	0.001561    
1           	389         	10          	0.001801    	0.001938    	0.001661    
1           	390         	10          	0.001849    	0.002142    	0.001551    
1           	391         	10          	0.001707    	0.002024    	0.001386    
1           	392         	10          	0.001885    	0.002209    	0.001556    
1           	393         	10          	0.001947    	0.002335    	0.001555    
1           	394         	10          	0.001944    	0.002388    	0.001494    
1           	395         	10          	0.001732    	0.002009    	0.001453    
1           	396         	10          	0.001941    	0.002332    	0.001546    
1           	397         	10          	0.001812    	0.002269    	0.001351    
1           	398         	10          	0.0017      	0.00214     	0.001256    
1           	399         	10          	0.001667    	0.001973    	0.001357    
1           	400         	10          	0.001466    	0.001425    	0.001508    
1           	401         	10          	0.001467    	0.001319    	0.001618    
1           	402         	10          	0.001656    	0.001307    	0.002009    
1           	403         	10          	0.00151     	0.001295    	0.001729    
1           	404         	10          	0.001188    	0.000867    	0.001513    
1           	405         	10          	0.001418    	0.001141    	0.001699    
1           	406         	10          	0.001581    	0.001223    	0.001945    
1           	407         	10          	0.001985    	0.001811    	0.002162    
1           	408         	10          	0.001831    	0.001538    	0.002128    
1           	409         	10          	0.001792    	0.002018    	0.001563    
1           	410         	10          	0.001777    	0.001742    	0.001812    
1           	411         	10          	0.001705    	0.001679    	0.001732    
1           	412         	10          	0.001725    	0.00181     	0.001639    
1           	413         	10          	0.001858    	0.002025    	0.001689    
1           	414         	10          	0.001849    	0.002253    	0.00144     
1           	415         	10          	0.001563    	0.002105    	0.001014    
1           	416         	10          	0.001493    	0.002047    	0.0009321   
1           	417         	10          	0.001536    	0.001826    	0.001241    
1           	418         	10          	0.001782    	0.002007    	0.001553    
1           	419         	10          	0.001626    	0.001464    	0.00179     
1           	420         	10          	0.001711    	0.001873    	0.001548    
1           	421         	10          	0.001449    	0.001591    	0.001305    
1           	422         	10          	0.00145     	0.001646    	0.00125     
1           	423         	10          	0.001564    	0.001644    	0.001482    
1           	424         	10          	0.00141     	0.001355    	0.001466    
1           	425         	10          	0.001296    	0.001375    	0.001217    
1           	426         	10          	0.001497    	0.001357    	0.001639    
1           	427         	10          	0.001538    	0.001636    	0.001439    
1           	428         	10          	0.001651    	0.001488    	0.001815    
1           	429         	10          	0.001836    	0.002007    	0.001664    
1           	430         	10          	0.001709    	0.001855    	0.001562    
1           	431         	10          	0.001801    	0.002006    	0.001593    
1           	432         	10          	0.001716    	0.001722    	0.001709    
