generation  	alive.rpl   	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
519         	1           	11          	0.6633      	0.6643      
520         	1           	11          	0.6641      	0.6664      
521         	1           	11          	0.6737      	0.6699      
522         	1           	11          	0.6742      	0.6706      
523         	1           	11          	0.6697      	0.6657      
524         	1           	11          	0.6675      	0.6664      
525         	1           	11          	0.6636      	0.6603      
526         	1           	11          	0.6579      	0.6644      
527         	1           	11          	0.6684      	0.6692      
528         	1           	11          	0.6729      	0.6754      
529         	1           	11          	0.668       	0.6726      
530         	1           	11          	0.6801      	0.6773      
531         	1           	11          	0.67        	0.6772      
532         	1           	11          	0.6771      	0.6774      
533         	1           	11          	0.6731      	0.6763      
534         	1           	11          	0.6696      	0.672       
535         	1           	11          	0.6796      	0.6811      
536         	1           	11          	0.6776      	0.6763      
537         	1           	11          	0.6675      	0.677       
538         	1           	11          	0.6802      	0.6743      
539         	1           	11          	0.6745      	0.6754      
540         	1           	11          	0.6795      	0.6793      
541         	1           	11          	0.6782      	0.6766      
542         	1           	11          	0.6722      	0.6734      
543         	1           	11          	0.6793      	0.6801      
544         	1           	11          	0.6789      	0.681       
545         	1           	11          	0.6765      	0.6801      
546         	1           	11          	0.6826      	0.6805      
547         	1           	11          	0.6807      	0.6789      
548         	1           	11          	0.6784      	0.6764      
549         	1           	11          	0.6729      	0.6759      
550         	1           	11          	0.6767      	0.6764      
551         	1           	11          	0.6777      	0.6777      
552         	1           	11          	0.6847      	0.6864      
553         	1           	11          	0.6884      	0.6899      
554         	1           	11          	0.6914      	0.6921      
555         	1           	11          	0.6962      	0.693       
556         	1           	11          	0.6891      	0.6869      
557         	1           	11          	0.6906      	0.6891      
558         	1           	11          	0.6919      	0.6892      
559         	1           	11          	0.695       	0.6938      
560         	1           	11          	0.6986      	0.696       
561         	1           	11          	0.7011      	0.699       
562         	1           	11          	0.7022      	0.7015      
563         	1           	11          	0.7015      	0.7039      
564         	1           	11          	0.7035      	0.7043      
565         	1           	11          	0.7115      	0.7093      
566         	1           	11          	0.7123      	0.7148      
567         	1           	11          	0.7176      	0.7153      
568         	1           	11          	0.7218      	0.7163      
569         	1           	11          	0.7083      	0.7137      
570         	1           	11          	0.7192      	0.7117      
571         	1           	11          	0.7162      	0.7152      
572         	1           	11          	0.7175      	0.7155      
573         	1           	11          	0.7128      	0.7116      
