replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	303         	11          	0.4998      	0.5015      
1           	304         	11          	0.5036      	0.5041      
1           	305         	11          	0.5006      	0.5042      
1           	306         	11          	0.5126      	0.5103      
1           	307         	11          	0.5035      	0.5029      
1           	308         	11          	0.4989      	0.4993      
1           	309         	11          	0.4981      	0.4967      
1           	310         	11          	0.4975      	0.5002      
1           	311         	11          	0.5016      	0.5045      
1           	312         	11          	0.5021      	0.5034      
1           	313         	11          	0.5105      	0.5057      
1           	314         	11          	0.5068      	0.5064      
1           	315         	11          	0.5073      	0.5067      
1           	316         	11          	0.5039      	0.5043      
1           	317         	11          	0.502       	0.5017      
1           	318         	11          	0.5006      	0.5033      
1           	319         	11          	0.5043      	0.5052      
1           	320         	11          	0.5105      	0.5093      
1           	321         	11          	0.508       	0.5059      
1           	322         	11          	0.4982      	0.4986      
1           	323         	11          	0.495       	0.4952      
1           	324         	11          	0.4988      	0.4991      
1           	325         	11          	0.4958      	0.4942      
1           	326         	11          	0.4959      	0.4968      
1           	327         	11          	0.4977      	0.4958      
1           	328         	11          	0.5049      	0.5052      
1           	329         	11          	0.505       	0.5052      
1           	330         	11          	0.5042      	0.5051      
1           	331         	11          	0.5069      	0.5076      
1           	332         	11          	0.5082      	0.5093      
1           	333         	11          	0.5079      	0.5069      
1           	334         	11          	0.51        	0.507       
1           	335         	11          	0.5134      	0.5112      
1           	336         	11          	0.5156      	0.5133      
1           	337         	11          	0.5078      	0.5088      
1           	338         	11          	0.5143      	0.5135      
1           	339         	11          	0.5182      	0.5166      
1           	340         	11          	0.5176      	0.5175      
1           	341         	11          	0.5105      	0.5122      
1           	342         	11          	0.5076      	0.5059      
1           	343         	11          	0.5053      	0.5041      
1           	344         	11          	0.5071      	0.503       
1           	345         	11          	0.4993      	0.5015      
1           	346         	11          	0.504       	0.5019      
1           	347         	11          	0.4963      	0.4964      
1           	348         	11          	0.4885      	0.4903      
1           	349         	11          	0.4933      	0.4907      
1           	350         	11          	0.4828      	0.4858      
1           	351         	11          	0.4859      	0.4849      
1           	352         	11          	0.4848      	0.4829      
1           	353         	11          	0.4999      	0.4953      
1           	354         	11          	0.4864      	0.4862      
1           	355         	11          	0.4921      	0.4902      
1           	356         	11          	0.4938      	0.4926      
1           	357         	11          	0.4935      	0.4934      
1           	358         	11          	0.4889      	0.4924      
1           	359         	11          	0.4953      	0.4958      
1           	360         	11          	0.5046      	0.5115      
1           	361         	11          	0.4986      	0.5015      
1           	362         	11          	0.4996      	0.4973      
1           	363         	11          	0.5022      	0.5029      
1           	364         	11          	0.5051      	0.5048      
1           	365         	11          	0.5139      	0.5101      
1           	366         	11          	0.5133      	0.5061      
1           	367         	11          	0.5055      	0.5068      
1           	368         	11          	0.5038      	0.5021      
1           	369         	11          	0.5018      	0.5003      
1           	370         	11          	0.4941      	0.4948      
1           	371         	11          	0.4954      	0.4952      
1           	372         	11          	0.4925      	0.4936      
1           	373         	11          	0.4975      	0.4972      
1           	374         	11          	0.4919      	0.4926      
1           	375         	11          	0.4965      	0.4924      
1           	376         	11          	0.4917      	0.4904      
1           	377         	11          	0.4938      	0.492       
1           	378         	11          	0.489       	0.4879      
1           	379         	11          	0.4919      	0.4884      
1           	380         	11          	0.488       	0.4892      
1           	381         	11          	0.4834      	0.4846      
1           	382         	11          	0.4845      	0.4805      
1           	383         	11          	0.4788      	0.4802      
1           	384         	11          	0.4779      	0.4802      
1           	385         	11          	0.4853      	0.4817      
1           	386         	11          	0.4845      	0.4825      
1           	387         	11          	0.4852      	0.4833      
1           	388         	11          	0.488       	0.489       
1           	389         	11          	0.4916      	0.4899      
1           	390         	11          	0.4894      	0.4861      
1           	391         	11          	0.4962      	0.4922      
1           	392         	11          	0.4922      	0.4951      
1           	393         	11          	0.4928      	0.4947      
1           	394         	11          	0.4911      	0.4921      
1           	395         	11          	0.4949      	0.4933      
1           	396         	11          	0.5041      	0.5035      
1           	397         	11          	0.5114      	0.5099      
1           	398         	11          	0.5109      	0.5094      
1           	399         	11          	0.5066      	0.5148      
1           	400         	11          	0.5149      	0.5175      
1           	401         	11          	0.5174      	0.5175      
1           	402         	11          	0.5198      	0.5192      
1           	403         	11          	0.5263      	0.5219      
1           	404         	11          	0.5165      	0.5178      
1           	405         	11          	0.5181      	0.518       
1           	406         	11          	0.5167      	0.515       
1           	407         	11          	0.5168      	0.5138      
