replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
5           	2000        	39          	0.8926      	-2.078      	13.5        
5           	2100        	33          	0.8994      	-1.978      	11.33       
5           	2200        	39          	0.91        	-2.033      	12.28       
5           	2300        	36          	0.9094      	-2.569      	12.07       
5           	2400        	39          	0.904       	-2.231      	12.18       
5           	2500        	36          	0.8983      	-2.024      	10.83       
5           	2600        	34          	0.8936      	-2.403      	10.79       
5           	2700        	32          	0.8902      	-2.39       	10.52       
5           	2800        	25          	0.8855      	-2.404      	12.13       
5           	2900        	27          	0.8858      	-2.322      	12.38       
5           	3000        	26          	0.8703      	-1.796      	11.44       
5           	3100        	27          	0.8647      	-0.8262     	9.233       
5           	3200        	35          	0.8602      	-1          	8.727       
5           	3300        	26          	0.8477      	-0.7932     	8.155       
5           	3400        	31          	0.8396      	-1.036      	8.13        
5           	3500        	28          	0.8296      	-0.5962     	8.258       
5           	3600        	25          	0.8266      	-1.052      	8.506       
5           	3700        	26          	0.8212      	-1.513      	8.75        
5           	3800        	26          	0.8085      	-1.71       	8.344       
5           	3900        	23          	0.8097      	-1.582      	8.159       
5           	4000        	19          	0.801       	-1.627      	9.173       
5           	4100        	22          	0.7819      	-1.418      	9.153       
5           	4200        	25          	0.7921      	-1.522      	9.169       
5           	4300        	31          	0.7963      	-2.063      	8.591       
5           	4400        	24          	0.7632      	-1.9        	8.241       
5           	4500        	32          	0.77        	-2.119      	7.584       
5           	4600        	31          	0.7735      	-2.184      	8.202       
5           	4700        	34          	0.7577      	-2.344      	7.994       
5           	4800        	30          	0.8025      	-2.785      	9.102       
5           	4900        	30          	0.8191      	-2.932      	8.808       
5           	5000        	29          	0.8058      	-2.25       	8.342       
6           	1           	151         	0.9865      	-0.000652   	7.835       
6           	100         	94          	0.9817      	-0.2971     	8.217       
6           	200         	82          	0.9744      	0.0403      	8.381       
6           	300         	70          	0.9691      	-0.1704     	8.276       
6           	400         	58          	0.9637      	0.02778     	7.717       
6           	500         	56          	0.9607      	0.3291      	7.262       
6           	600         	57          	0.9595      	-0.07037    	6.747       
6           	700         	56          	0.9564      	0.1656      	5.708       
6           	800         	52          	0.9531      	-0.05597    	7.206       
6           	900         	50          	0.9496      	0.3236      	6.567       
6           	1000        	46          	0.9424      	0.2607      	5.522       
6           	1100        	45          	0.928       	0.273       	4.563       
6           	1200        	35          	0.9227      	0.6461      	4.034       
6           	1300        	36          	0.9268      	0.6775      	4.11        
6           	1400        	33          	0.913       	0.6912      	3.832       
6           	1500        	37          	0.9082      	0.5651      	3.655       
6           	1600        	34          	0.8958      	0.4759      	3.053       
6           	1700        	40          	0.8831      	0.142       	3.289       
6           	1800        	33          	0.9032      	0.2296      	3.772       
6           	1900        	35          	0.9006      	0.5076      	4.029       
6           	2000        	33          	0.89        	0.4348      	3.612       
6           	2100        	28          	0.8902      	0.3745      	3.4         
6           	2200        	29          	0.8808      	0.3287      	3.308       
6           	2300        	30          	0.881       	0.1652      	3.074       
6           	2400        	30          	0.8611      	-0.3129     	2.816       
6           	2500        	32          	0.8445      	-0.7619     	2.592       
6           	2600        	34          	0.8462      	-0.7506     	2.762       
6           	2700        	35          	0.8624      	-0.5172     	2.611       
6           	2800        	30          	0.8667      	-0.3462     	2.647       
6           	2900        	27          	0.8651      	-0.4084     	2.714       
6           	3000        	30          	0.8709      	-0.1695     	2.898       
6           	3100        	30          	0.878       	-0.1808     	2.9         
6           	3200        	27          	0.8695      	-0.2408     	2.649       
6           	3300        	31          	0.8695      	-0.3395     	2.566       
6           	3400        	29          	0.8712      	-0.4343     	2.537       
6           	3500        	31          	0.8668      	-0.4754     	2.641       
6           	3600        	28          	0.8569      	-0.2253     	2.274       
6           	3700        	26          	0.8603      	-0.3624     	2.453       
6           	3800        	26          	0.8505      	-0.5203     	2.444       
6           	3900        	35          	0.8599      	-0.3365     	2.541       
6           	4000        	28          	0.8528      	-0.2397     	2.763       
6           	4100        	31          	0.8527      	-0.1738     	2.992       
6           	4200        	30          	0.8655      	-0.3        	3.466       
6           	4300        	29          	0.864       	-0.3033     	4.126       
6           	4400        	27          	0.8619      	-0.3539     	3.375       
6           	4500        	31          	0.857       	-0.1168     	3.033       
6           	4600        	34          	0.8459      	-0.3607     	2.826       
6           	4700        	22          	0.8563      	-0.4697     	2.95        
6           	4800        	26          	0.8617      	-0.3568     	3.135       
6           	4900        	28          	0.8675      	-0.4094     	2.797       
6           	5000        	24          	0.8701      	-0.3407     	2.291       
7           	1           	150         	0.9866      	0.02346     	7.865       
7           	100         	94          	0.9823      	-0.1178     	7.506       
7           	200         	78          	0.9767      	-0.2734     	8.104       
7           	300         	66          	0.9722      	-0.3347     	7.994       
7           	400         	61          	0.9648      	-0.3612     	7.291       
7           	500         	50          	0.9644      	-0.2159     	7.149       
7           	600         	48          	0.9628      	-0.0414     	7.993       
7           	700         	48          	0.9573      	0.2744      	8.112       
7           	800         	41          	0.9561      	-0.1724     	7.523       
7           	900         	45          	0.9473      	0.6367      	7.266       
7           	1000        	39          	0.9348      	0.6621      	6.433       
7           	1100        	42          	0.9276      	0.7571      	6.562       
7           	1200        	40          	0.9264      	0.6502      	6.16        
7           	1300        	37          	0.9307      	0.4909      	6.326       
7           	1400        	37          	0.9327      	0.677       	7.285       
7           	1500        	38          	0.9324      	0.7926      	7.632       
7           	1600        	36          	0.9321      	0.4863      	6.628       
7           	1700        	40          	0.9106      	0.7711      	6.717       
7           	1800        	36          	0.9134      	1.142       	5.874       
7           	1900        	38          	0.9157      	0.6952      	5.92        
7           	2000        	32          	0.9004      	0.902       	6.109       
7           	2100        	33          	0.8981      	0.3704      	6.229       
7           	2200        	29          	0.9079      	0.07643     	5.77        
7           	2300        	26          	0.9124      	0.06824     	5.648       
7           	2400        	31          	0.9049      	0.2631      	5.495       
7           	2500        	28          	0.8977      	0.1608      	5.461       
7           	2600        	31          	0.893       	0.2699      	4.85        
7           	2700        	32          	0.8848      	0.6943      	5.742       
7           	2800        	33          	0.8855      	0.7712      	5.952       
7           	2900        	33          	0.89        	0.5196      	7.348       
7           	3000        	33          	0.8864      	0.2156      	7.073       
7           	3100        	25          	0.8694      	-0.2539     	6.62        
7           	3200        	36          	0.8461      	-0.274      	5.68        
7           	3300        	38          	0.8767      	-0.6037     	6.5         
7           	3400        	34          	0.8771      	-0.6287     	6.111       
7           	3500        	32          	0.8752      	-0.496      	5.964       
7           	3600        	34          	0.8356      	-0.5344     	4.768       
7           	3700        	30          	0.8414      	-0.3578     	4.904       
7           	3800        	32          	0.8778      	-0.7442     	4.944       
7           	3900        	30          	0.8711      	-0.9165     	4.972       
7           	4000        	31          	0.8925      	-0.8057     	5.38        
7           	4100        	31          	0.8971      	-0.9612     	5.168       
7           	4200        	28          	0.8781      	-1.235      	4.857       
7           	4300        	28          	0.8783      	-1.109      	5.139       
7           	4400        	29          	0.8985      	-0.9821     	5.633       
7           	4500        	30          	0.9058      	-0.9477     	6.183       
7           	4600        	33          	0.9105      	-1.376      	5.542       
7           	4700        	37          	0.8986      	-1.326      	5.532       
7           	4800        	29          	0.8958      	-1.449      	5.58        
7           	4900        	27          	0.8898      	-1.364      	5.112       
7           	5000        	24          	0.8864      	-1.064      	5.912       
8           	1           	150         	0.9868      	-0.03359    	8.158       
8           	100         	97          	0.9824      	0.03078     	8.456       
8           	200         	79          	0.9797      	0.3202      	10.43       
8           	300         	71          	0.9765      	0.8254      	10.98       
8           	400         	62          	0.9729      	0.826       	10.78       
8           	500         	58          	0.9683      	1.296       	10.91       
8           	600         	52          	0.9661      	1.346       	12.11       
8           	700         	52          	0.9615      	1.818       	12.78       
8           	800         	52          	0.958       	2.135       	13.01       
8           	900         	54          	0.9579      	1.865       	11.85       
8           	1000        	51          	0.9528      	1.48        	11.51       
8           	1100        	44          	0.9465      	1.486       	10          
8           	1200        	48          	0.95        	1.8         	10.12       
8           	1300        	48          	0.9509      	1.475       	10.9        
8           	1400        	47          	0.9452      	1.608       	9.975       
8           	1500        	45          	0.9421      	0.5733      	12.47       
8           	1600        	50          	0.9382      	0.6469      	13.92       
8           	1700        	44          	0.935       	1.591       	11.75       
8           	1800        	35          	0.9255      	1.666       	11.96       
8           	1900        	41          	0.9249      	0.9032      	13.1        
8           	2000        	42          	0.9207      	0.9197      	13.59       
8           	2100        	40          	0.9143      	0.7185      	12.83       
8           	2200        	36          	0.9211      	0.7154      	11.15       
8           	2300        	33          	0.9144      	0.304       	11.26       
8           	2400        	33          	0.9028      	0.2825      	10.36       
8           	2500        	28          	0.8984      	0.4457      	10.39       
8           	2600        	33          	0.8896      	0.5693      	9.692       
8           	2700        	38          	0.8895      	0.6222      	8.399       
8           	2800        	31          	0.8855      	0.426       	7.295       
8           	2900        	28          	0.8794      	0.4008      	7.341       
8           	3000        	28          	0.872       	0.5805      	6.649       
8           	3100        	26          	0.8882      	0.5781      	7.491       
8           	3200        	32          	0.8842      	0.2991      	7.103       
8           	3300        	32          	0.8773      	0.3497      	7.571       
