generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
419         	1           	8.95        	0.2863      	0.4595      	0.1089      
420         	1           	9.1         	0.2874      	0.46        	0.1109      
421         	1           	9.1         	0.29        	0.4663      	0.1099      
422         	1           	8.95        	0.2905      	0.4664      	0.1109      
423         	1           	8.85        	0.2927      	0.469       	0.1128      
424         	1           	8.85        	0.2953      	0.4738      	0.1133      
425         	1           	9           	0.2949      	0.4726      	0.1132      
426         	1           	9           	0.2944      	0.4734      	0.1112      
427         	1           	9.05        	0.2923      	0.4725      	0.1079      
428         	1           	9.05        	0.2905      	0.4708      	0.1061      
429         	1           	9.1         	0.2907      	0.4717      	0.1057      
430         	1           	8.9         	0.2882      	0.4656      	0.107       
431         	1           	8.9         	0.2876      	0.4654      	0.1062      
432         	1           	8.65        	0.2892      	0.4695      	0.1052      
433         	1           	8.7         	0.2911      	0.4703      	0.1079      
434         	1           	8.6         	0.2952      	0.4754      	0.111       
435         	1           	8.55        	0.2963      	0.4749      	0.1138      
436         	1           	8.55        	0.2935      	0.4726      	0.1104      
437         	1           	8.5         	0.2942      	0.4752      	0.1091      
438         	1           	8.4         	0.2959      	0.4781      	0.1099      
439         	1           	8.4         	0.2973      	0.4809      	0.1099      
440         	1           	8.4         	0.3003      	0.4899      	0.1071      
441         	1           	8.35        	0.2965      	0.4836      	0.106       
442         	1           	8.4         	0.2955      	0.4788      	0.1088      
443         	1           	8.35        	0.2949      	0.4781      	0.1082      
444         	1           	8.4         	0.2993      	0.4862      	0.1088      
445         	1           	8.55        	0.3039      	0.4936      	0.1104      
446         	1           	8.35        	0.3001      	0.4865      	0.11        
447         	1           	8.55        	0.3026      	0.4909      	0.1105      
448         	1           	8.3         	0.3018      	0.4906      	0.1091      
449         	1           	8.35        	0.3036      	0.4926      	0.1108      
450         	1           	8.6         	0.3047      	0.4941      	0.1114      
451         	1           	8.6         	0.3082      	0.5019      	0.1104      
452         	1           	8.7         	0.3097      	0.5036      	0.1116      
453         	1           	8.85        	0.3115      	0.5111      	0.1074      
454         	1           	8.55        	0.3114      	0.5107      	0.1076      
455         	1           	8.6         	0.3124      	0.5132      	0.107       
456         	1           	8.55        	0.3107      	0.508       	0.1088      
457         	1           	8.8         	0.3148      	0.5147      	0.1108      
458         	1           	8.7         	0.3182      	0.5208      	0.1115      
459         	1           	8.6         	0.3211      	0.5246      	0.1136      
460         	1           	8.55        	0.3219      	0.5239      	0.1158      
461         	1           	8.6         	0.3198      	0.5189      	0.1167      
462         	1           	8.6         	0.3176      	0.5109      	0.1203      
463         	1           	8.5         	0.3191      	0.5089      	0.1253      
464         	1           	8.65        	0.3174      	0.5088      	0.1216      
465         	1           	8.75        	0.3182      	0.5075      	0.1246      
466         	1           	8.75        	0.3148      	0.5029      	0.1222      
467         	1           	8.8         	0.3102      	0.4927      	0.1232      
468         	1           	8.8         	0.3085      	0.4883      	0.1245      
469         	1           	8.65        	0.309       	0.4916      	0.1219      
470         	1           	8.7         	0.309       	0.4918      	0.1217      
471         	1           	8.85        	0.3064      	0.4907      	0.1177      
472         	1           	8.8         	0.303       	0.488       	0.1137      
473         	1           	8.9         	0.3022      	0.4853      	0.1146      
474         	1           	8.85        	0.3015      	0.4844      	0.1142      
475         	1           	8.95        	0.301       	0.4808      	0.1169      
476         	1           	8.7         	0.2994      	0.4778      	0.1167      
477         	1           	8.8         	0.2994      	0.4776      	0.1169      
478         	1           	8.8         	0.3053      	0.4894      	0.117       
479         	1           	8.85        	0.306       	0.4909      	0.1166      
480         	1           	8.75        	0.3037      	0.4855      	0.1173      
