replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	215         	9.05        	0.3683      	0.6617      	0.06785     
1           	216         	9.15        	0.3685      	0.6633      	0.06652     
1           	217         	9.1         	0.3659      	0.6577      	0.06707     
1           	218         	9.15        	0.3696      	0.6647      	0.06764     
1           	219         	9           	0.3708      	0.667       	0.06776     
1           	220         	9           	0.3713      	0.6666      	0.06907     
1           	221         	8.8         	0.3729      	0.6693      	0.06947     
1           	222         	8.65        	0.3711      	0.6641      	0.07102     
1           	223         	8.7         	0.3698      	0.6611      	0.07118     
1           	224         	8.7         	0.3705      	0.6602      	0.07347     
1           	225         	8.7         	0.3666      	0.6515      	0.07486     
1           	226         	8.8         	0.3628      	0.6438      	0.07501     
1           	227         	8.75        	0.3635      	0.6474      	0.07282     
1           	228         	8.85        	0.365       	0.6499      	0.07328     
1           	229         	8.8         	0.3619      	0.644       	0.0733      
1           	230         	8.9         	0.3644      	0.6482      	0.07434     
1           	231         	8.85        	0.3612      	0.638       	0.07857     
1           	232         	9           	0.364       	0.6438      	0.07804     
1           	233         	9.05        	0.3648      	0.6474      	0.07623     
1           	234         	9           	0.3636      	0.6443      	0.07675     
1           	235         	9           	0.3553      	0.6297      	0.07472     
1           	236         	9.15        	0.3544      	0.6282      	0.07466     
1           	237         	9.3         	0.3512      	0.6201      	0.07616     
1           	238         	9.25        	0.3498      	0.6162      	0.07722     
1           	239         	9.2         	0.344       	0.6071      	0.07503     
1           	240         	9.05        	0.3385      	0.5998      	0.07107     
1           	241         	8.95        	0.3364      	0.5932      	0.07356     
1           	242         	8.8         	0.3347      	0.5889      	0.07479     
1           	243         	8.85        	0.3294      	0.5791      	0.07407     
1           	244         	8.85        	0.331       	0.5816      	0.07463     
1           	245         	8.95        	0.3305      	0.5796      	0.07538     
1           	246         	8.95        	0.3281      	0.5763      	0.07404     
1           	247         	8.85        	0.3286      	0.5788      	0.07257     
1           	248         	9           	0.3258      	0.5742      	0.07152     
1           	249         	9           	0.3252      	0.5706      	0.07405     
1           	250         	8.9         	0.326       	0.5709      	0.07538     
1           	251         	9.05        	0.3233      	0.5662      	0.0747      
1           	252         	9           	0.3252      	0.5692      	0.07559     
1           	253         	9.05        	0.3249      	0.5683      	0.07553     
1           	254         	9.05        	0.323       	0.5672      	0.07301     
1           	255         	9.05        	0.3215      	0.5643      	0.07298     
1           	256         	8.95        	0.3244      	0.5707      	0.07246     
1           	257         	8.85        	0.3218      	0.5655      	0.07236     
