generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
362         	1           	9.95        	0.02115     	0.01852     	0.02387     
363         	1           	9.95        	0.02071     	0.01778     	0.02372     
364         	1           	9.95        	0.02038     	0.01818     	0.02266     
365         	1           	9.95        	0.02023     	0.01695     	0.02361     
366         	1           	9.95        	0.02077     	0.01712     	0.02452     
367         	1           	9.95        	0.02137     	0.01753     	0.02533     
368         	1           	9.95        	0.0214      	0.01706     	0.02588     
369         	1           	9.95        	0.02079     	0.01648     	0.02523     
370         	1           	10          	0.02163     	0.01738     	0.026       
371         	1           	10          	0.02216     	0.01768     	0.02678     
372         	1           	10          	0.02213     	0.01797     	0.02645     
373         	1           	10          	0.02192     	0.01898     	0.02495     
374         	1           	10          	0.02116     	0.01829     	0.02414     
375         	1           	10          	0.0218      	0.01977     	0.0239      
376         	1           	10          	0.02196     	0.01905     	0.02498     
377         	1           	10          	0.02145     	0.01822     	0.02479     
378         	1           	10          	0.02041     	0.01721     	0.02373     
379         	1           	10          	0.0201      	0.0173      	0.02301     
380         	1           	10          	0.02029     	0.01788     	0.0228      
381         	1           	10          	0.02109     	0.01951     	0.02272     
382         	1           	10          	0.02081     	0.01887     	0.02282     
383         	1           	10          	0.02099     	0.01905     	0.02301     
384         	1           	10          	0.021       	0.01906     	0.02301     
385         	1           	10          	0.02113     	0.0205      	0.02178     
386         	1           	9.95        	0.02171     	0.02123     	0.02221     
387         	1           	10          	0.02259     	0.02248     	0.02271     
388         	1           	9.95        	0.02269     	0.02381     	0.02153     
389         	1           	9.95        	0.02256     	0.02323     	0.02187     
390         	1           	10          	0.02266     	0.02256     	0.02276     
391         	1           	9.95        	0.02292     	0.02273     	0.02313     
392         	1           	9.95        	0.02344     	0.02344     	0.02344     
393         	1           	10          	0.02418     	0.02398     	0.02439     
394         	1           	9.95        	0.02437     	0.02419     	0.02455     
395         	1           	9.95        	0.0238      	0.02384     	0.02377     
396         	1           	9.95        	0.02398     	0.0246      	0.02334     
397         	1           	9.95        	0.02347     	0.02354     	0.02341     
398         	1           	9.9         	0.02263     	0.02316     	0.02208     
399         	1           	9.9         	0.02198     	0.0226      	0.02135     
400         	1           	9.95        	0.02209     	0.02275     	0.02141     
401         	1           	9.95        	0.02261     	0.02197     	0.02327     
402         	1           	9.85        	0.02253     	0.0215      	0.0236      
403         	1           	9.9         	0.02224     	0.02139     	0.02312     
404         	1           	9.9         	0.0224      	0.02156     	0.02327     
405         	1           	9.9         	0.02305     	0.02114     	0.02504     
406         	1           	9.85        	0.0235      	0.02151     	0.02556     
407         	1           	9.9         	0.02404     	0.02222     	0.02592     
408         	1           	10          	0.02435     	0.02217     	0.02661     
409         	1           	9.95        	0.02539     	0.02276     	0.02811     
410         	1           	10          	0.02435     	0.0218      	0.02699     
411         	1           	10          	0.02451     	0.02215     	0.02695     
412         	1           	9.95        	0.0233      	0.02182     	0.02484     
413         	1           	9.9         	0.0228      	0.02045     	0.02524     
414         	1           	9.95        	0.02236     	0.01946     	0.02537     
415         	1           	9.85        	0.02218     	0.02013     	0.02431     
416         	1           	9.9         	0.02325     	0.0214      	0.02516     
417         	1           	9.95        	0.0246      	0.023       	0.02628     
418         	1           	9.95        	0.02446     	0.02165     	0.02738     
419         	1           	10          	0.02477     	0.02236     	0.02728     
420         	1           	10          	0.02573     	0.02364     	0.0279      
421         	1           	10          	0.02456     	0.02149     	0.02775     
422         	1           	10          	0.02301     	0.02031     	0.02584     
423         	1           	10          	0.02183     	0.01964     	0.02412     
