replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	854         	8.55        	0.248       	0.2687      	0.2263      
1           	855         	8.35        	0.2465      	0.2682      	0.2237      
1           	856         	8.6         	0.2453      	0.2681      	0.2214      
1           	857         	8.55        	0.2485      	0.2703      	0.2256      
1           	858         	8.6         	0.2468      	0.2682      	0.2243      
1           	859         	8.65        	0.2464      	0.2668      	0.2249      
1           	860         	8.6         	0.2442      	0.2623      	0.2253      
1           	861         	8.65        	0.2421      	0.2606      	0.2227      
1           	862         	8.6         	0.2403      	0.2597      	0.22        
1           	863         	8.45        	0.2436      	0.2641      	0.2221      
1           	864         	8.55        	0.2435      	0.2601      	0.2262      
1           	865         	8.5         	0.243       	0.2607      	0.2245      
1           	866         	8.45        	0.2446      	0.2617      	0.2267      
1           	867         	8.4         	0.2435      	0.2609      	0.2253      
1           	868         	8.35        	0.2416      	0.2555      	0.227       
1           	869         	8.35        	0.2421      	0.2575      	0.226       
1           	870         	8.45        	0.2448      	0.2627      	0.2262      
1           	871         	8.6         	0.245       	0.2615      	0.2277      
1           	872         	8.6         	0.2434      	0.2592      	0.2269      
1           	873         	8.75        	0.2423      	0.2562      	0.2278      
1           	874         	8.7         	0.2407      	0.25        	0.2309      
1           	875         	8.8         	0.2409      	0.2493      	0.2322      
1           	876         	8.7         	0.2415      	0.2516      	0.231       
1           	877         	8.45        	0.2424      	0.253       	0.2313      
1           	878         	8.35        	0.2439      	0.2515      	0.2359      
1           	879         	8.5         	0.2475      	0.2555      	0.2391      
1           	880         	8.3         	0.2465      	0.2544      	0.2382      
1           	881         	8.45        	0.247       	0.2561      	0.2376      
1           	882         	8.25        	0.2441      	0.2545      	0.2334      
1           	883         	8.35        	0.2442      	0.2542      	0.2337      
1           	884         	8.35        	0.2448      	0.2581      	0.231       
1           	885         	8.4         	0.2442      	0.2583      	0.2296      
1           	886         	8.4         	0.2436      	0.26        	0.2266      
1           	887         	8.3         	0.2419      	0.2616      	0.2214      
1           	888         	8.15        	0.2413      	0.2571      	0.2249      
1           	889         	8.2         	0.241       	0.2582      	0.2231      
1           	890         	8.2         	0.2444      	0.2592      	0.229       
1           	891         	8.2         	0.2397      	0.254       	0.2249      
1           	892         	8.45        	0.2379      	0.2549      	0.2202      
1           	893         	8.5         	0.2399      	0.2566      	0.2226      
1           	894         	8.4         	0.2391      	0.2565      	0.221       
1           	895         	8.35        	0.2366      	0.2545      	0.2179      
1           	896         	8.4         	0.2364      	0.2547      	0.2173      
1           	897         	8.5         	0.2398      	0.2574      	0.2213      
1           	898         	8.7         	0.2374      	0.2546      	0.2195      
1           	899         	8.7         	0.2402      	0.2594      	0.2202      
1           	900         	8.6         	0.2421      	0.2628      	0.2205      
1           	901         	8.75        	0.2388      	0.2581      	0.2186      
1           	902         	8.7         	0.2378      	0.2611      	0.2135      
1           	903         	8.45        	0.2387      	0.2587      	0.2178      
1           	904         	8.4         	0.2401      	0.2606      	0.2187      
1           	905         	8.5         	0.2425      	0.2629      	0.2211      
1           	906         	8.65        	0.2413      	0.2609      	0.2207      
1           	907         	8.75        	0.2388      	0.2582      	0.2185      
1           	908         	8.65        	0.2388      	0.2599      	0.2167      
1           	909         	8.7         	0.2376      	0.256       	0.2182      
1           	910         	8.75        	0.2349      	0.2522      	0.2166      
1           	911         	8.8         	0.2331      	0.2522      	0.213       
1           	912         	9           	0.2312      	0.2493      	0.2122      
1           	913         	9           	0.2304      	0.2484      	0.2114      
1           	914         	8.8         	0.2312      	0.2476      	0.2139      
1           	915         	8.75        	0.2296      	0.2481      	0.2102      
1           	916         	8.7         	0.2296      	0.251       	0.2071      
1           	917         	8.65        	0.2322      	0.2543      	0.209       
1           	918         	8.3         	0.2326      	0.2571      	0.2068      
1           	919         	8.4         	0.2303      	0.2534      	0.2061      
1           	920         	8.35        	0.236       	0.2604      	0.2105      
1           	921         	8.5         	0.2392      	0.2638      	0.2133      
1           	922         	8.5         	0.2419      	0.2665      	0.2161      
1           	923         	8.5         	0.2432      	0.2708      	0.2143      
1           	924         	8.45        	0.241       	0.2665      	0.2142      
1           	925         	8.35        	0.2393      	0.2639      	0.2135      
1           	926         	8.25        	0.2394      	0.2634      	0.2142      
1           	927         	8.45        	0.2367      	0.2577      	0.2147      
1           	928         	8.6         	0.2359      	0.2561      	0.2146      
1           	929         	8.45        	0.2348      	0.2511      	0.2176      
1           	930         	8.6         	0.2381      	0.2532      	0.2221      
1           	931         	8.35        	0.2367      	0.2532      	0.2194      
1           	932         	8.45        	0.2379      	0.2534      	0.2215      
1           	933         	8.5         	0.2391      	0.2528      	0.2247      
1           	934         	8.5         	0.2457      	0.2591      	0.2316      
1           	935         	8.5         	0.2448      	0.2587      	0.2302      
1           	936         	8.45        	0.2408      	0.2542      	0.2266      
1           	937         	8.4         	0.2408      	0.2521      	0.2288      
1           	938         	8.4         	0.2424      	0.2565      	0.2276      
1           	939         	8.45        	0.2384      	0.2519      	0.2241      
1           	940         	8.5         	0.2367      	0.2472      	0.2256      
1           	941         	8.6         	0.2406      	0.2488      	0.2321      
1           	942         	8.6         	0.2377      	0.2454      	0.2296      
1           	943         	8.55        	0.2352      	0.2411      	0.2289      
1           	944         	8.45        	0.2359      	0.2419      	0.2297      
1           	945         	8.45        	0.2323      	0.2384      	0.2259      
1           	946         	8.25        	0.2313      	0.2377      	0.2246      
1           	947         	8.2         	0.2308      	0.2361      	0.2252      
1           	948         	8.2         	0.2322      	0.2362      	0.2281      
1           	949         	8.25        	0.228       	0.2318      	0.2241      
1           	950         	8.35        	0.2278      	0.2351      	0.2202      
1           	951         	8.3         	0.2291      	0.235       	0.223       
1           	952         	8.4         	0.2277      	0.2339      	0.2213      
1           	953         	8.45        	0.2275      	0.2341      	0.2205      
1           	954         	8.35        	0.2285      	0.2308      	0.2261      
1           	955         	8.25        	0.2313      	0.2348      	0.2276      
1           	956         	8.55        	0.2296      	0.2335      	0.2255      
1           	957         	8.6         	0.2271      	0.2309      	0.2231      
1           	958         	8.4         	0.2263      	0.2303      	0.222       
1           	959         	8.25        	0.2288      	0.231       	0.2265      
1           	960         	8.25        	0.2265      	0.2309      	0.222       
1           	961         	8.3         	0.2263      	0.2285      	0.2241      
1           	962         	8.25        	0.2256      	0.2304      	0.2205      
1           	963         	8.4         	0.2267      	0.229       	0.2243      
1           	964         	8.5         	0.2239      	0.2238      	0.2239      
1           	965         	8.45        	0.227       	0.2265      	0.2275      
1           	966         	8.4         	0.2307      	0.2315      	0.2298      
1           	967         	8.4         	0.2285      	0.2311      	0.2258      
1           	968         	8.5         	0.2261      	0.2288      	0.2232      
1           	969         	8.6         	0.2246      	0.2249      	0.2244      
1           	970         	8.5         	0.2243      	0.2245      	0.2241      
1           	971         	8.3         	0.2257      	0.2239      	0.2275      
1           	972         	8.2         	0.2233      	0.2207      	0.226       
1           	973         	8.15        	0.2195      	0.2162      	0.2229      
1           	974         	8.2         	0.2192      	0.2132      	0.2255      
1           	975         	8.35        	0.221       	0.2163      	0.2259      
1           	976         	8.35        	0.2229      	0.2181      	0.2278      
1           	977         	8.4         	0.2261      	0.224       	0.2283      
1           	978         	8.45        	0.228       	0.2252      	0.2309      
1           	979         	8.45        	0.2278      	0.2273      	0.2284      
1           	980         	8.5         	0.2251      	0.2243      	0.226       
1           	981         	8.3         	0.2236      	0.2206      	0.2267      
1           	982         	8.35        	0.2232      	0.2184      	0.2282      
1           	983         	8.4         	0.2232      	0.2167      	0.23        
1           	984         	8.35        	0.224       	0.2191      	0.2292      
1           	985         	8.4         	0.226       	0.217       	0.2355      
1           	986         	8.35        	0.2283      	0.2183      	0.2389      
1           	987         	8.35        	0.2252      	0.2158      	0.2352      
1           	988         	8.35        	0.2234      	0.2135      	0.2339      
1           	989         	8.3         	0.226       	0.2141      	0.2385      
1           	990         	8.2         	0.2292      	0.2189      	0.2401      
1           	991         	8.25        	0.2288      	0.2175      	0.2407      
1           	992         	8.25        	0.2293      	0.22        	0.2392      
1           	993         	8.25        	0.2299      	0.2188      	0.2417      
1           	994         	8.2         	0.2263      	0.2195      	0.2336      
1           	995         	8.05        	0.2233      	0.2174      	0.2295      
1           	996         	8.1         	0.2186      	0.2132      	0.2244      
1           	997         	8.3         	0.2212      	0.2158      	0.2269      
1           	998         	8.2         	0.22        	0.2164      	0.2238      
1           	999         	8.35        	0.2221      	0.2179      	0.2265      
1           	1000        	8           	0.2261      	0.2251      	0.2271      
