replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	300         	6           	0.4688      	0.4706      
1           	301         	6           	0.4715      	0.4714      
1           	302         	6           	0.4678      	0.4664      
1           	303         	6           	0.4674      	0.4711      
1           	304         	6           	0.4825      	0.4758      
1           	305         	6           	0.4761      	0.48        
1           	306         	6           	0.4784      	0.4823      
1           	307         	6           	0.4806      	0.4801      
1           	308         	6           	0.4852      	0.4809      
1           	309         	6           	0.4783      	0.4809      
1           	310         	6           	0.4867      	0.4836      
1           	311         	6           	0.4799      	0.483       
1           	312         	6           	0.4845      	0.4874      
1           	313         	6           	0.4897      	0.4869      
1           	314         	6           	0.4886      	0.4888      
1           	315         	6           	0.4841      	0.4879      
1           	316         	6           	0.4802      	0.4863      
1           	317         	6           	0.479       	0.4838      
1           	318         	6           	0.4866      	0.4913      
1           	319         	6           	0.4886      	0.4917      
1           	320         	6           	0.4855      	0.4877      
1           	321         	6           	0.4893      	0.4874      
1           	322         	5           	0.483       	0.4843      
1           	323         	6           	0.4908      	0.4904      
1           	324         	5           	0.4866      	0.4865      
1           	325         	5           	0.4773      	0.4853      
1           	326         	5           	0.4859      	0.485       
1           	327         	5           	0.4805      	0.486       
1           	328         	5           	0.4828      	0.4867      
1           	329         	5           	0.4867      	0.4898      
1           	330         	6           	0.4985      	0.4953      
1           	331         	5           	0.5005      	0.4947      
1           	332         	5           	0.5064      	0.5022      
1           	333         	5           	0.5062      	0.5041      
1           	334         	6           	0.5043      	0.5049      
1           	335         	6           	0.5058      	0.505       
1           	336         	6           	0.5079      	0.5051      
1           	337         	6           	0.5098      	0.5049      
1           	338         	6           	0.5092      	0.5079      
1           	339         	6           	0.5078      	0.5058      
1           	340         	6           	0.5065      	0.5073      
1           	341         	6           	0.5054      	0.5078      
1           	342         	6           	0.5018      	0.5077      
1           	343         	6           	0.5093      	0.5065      
1           	344         	6           	0.4996      	0.5051      
1           	345         	7           	0.5044      	0.499       
1           	346         	7           	0.4967      	0.4962      
1           	347         	6           	0.4818      	0.4892      
1           	348         	6           	0.4873      	0.489       
1           	349         	6           	0.4863      	0.4857      
1           	350         	6           	0.4839      	0.4842      
1           	351         	6           	0.4824      	0.4805      
1           	352         	6           	0.4889      	0.4857      
1           	353         	6           	0.4945      	0.4894      
1           	354         	6           	0.5015      	0.4918      
1           	355         	6           	0.4894      	0.4954      
1           	356         	6           	0.4971      	0.4974      
1           	357         	6           	0.4985      	0.5009      
1           	358         	6           	0.4929      	0.5011      
1           	359         	6           	0.501       	0.4985      
1           	360         	6           	0.4999      	0.5012      
1           	361         	6           	0.4969      	0.4987      
1           	362         	6           	0.4911      	0.4974      
1           	363         	6           	0.4977      	0.4962      
1           	364         	6           	0.4983      	0.4975      
1           	365         	6           	0.495       	0.498       
1           	366         	6           	0.4923      	0.4948      
1           	367         	6           	0.497       	0.4951      
1           	368         	6           	0.4897      	0.4879      
1           	369         	6           	0.4859      	0.4866      
1           	370         	6           	0.4887      	0.4904      
1           	371         	5           	0.4828      	0.4851      
1           	372         	5           	0.4911      	0.4856      
1           	373         	5           	0.4855      	0.4859      
1           	374         	5           	0.49        	0.4852      
1           	375         	5           	0.4872      	0.4862      
1           	376         	5           	0.4789      	0.4849      
1           	377         	5           	0.4833      	0.4832      
1           	378         	5           	0.4895      	0.4913      
1           	379         	5           	0.4944      	0.4891      
1           	380         	5           	0.4864      	0.4896      
1           	381         	6           	0.4871      	0.4857      
1           	382         	7           	0.4855      	0.4836      
1           	383         	7           	0.4877      	0.4882      
1           	384         	7           	0.4873      	0.4888      
1           	385         	7           	0.4845      	0.4847      
1           	386         	6           	0.4894      	0.4913      
1           	387         	5           	0.4913      	0.4892      
1           	388         	5           	0.4889      	0.493       
1           	389         	5           	0.4928      	0.4994      
1           	390         	5           	0.4968      	0.5018      
1           	391         	5           	0.5055      	0.5068      
1           	392         	5           	0.5135      	0.51        
1           	393         	5           	0.5071      	0.5121      
1           	394         	5           	0.5152      	0.5127      
1           	395         	6           	0.5084      	0.5149      
1           	396         	6           	0.5115      	0.5094      
1           	397         	6           	0.5086      	0.5111      
1           	398         	6           	0.5156      	0.5101      
1           	399         	6           	0.5093      	0.5079      
1           	400         	6           	0.501       	0.5007      
1           	401         	5           	0.5         	0.4969      
1           	402         	6           	0.4957      	0.4955      
1           	403         	7           	0.4966      	0.4923      
1           	404         	6           	0.486       	0.4833      
