generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2	alive.rpl   
384         	1000        	0.9741      	0.02586     	0.3784      	0.6216      	99          
385         	1000        	0.9742      	0.02582     	0.3789      	0.6211      	99          
386         	1000        	0.9742      	0.02581     	0.3784      	0.6216      	99          
387         	1000        	0.9742      	0.02585     	0.379       	0.621       	99          
388         	1000        	0.9738      	0.0262      	0.3793      	0.6207      	99          
389         	1000        	0.9737      	0.02629     	0.3776      	0.6224      	99          
390         	1000        	0.9734      	0.0266      	0.3776      	0.6224      	99          
391         	1000        	0.974       	0.02598     	0.3783      	0.6217      	99          
392         	1000        	0.9745      	0.02553     	0.3784      	0.6216      	99          
393         	1000        	0.9743      	0.0257      	0.3781      	0.6219      	99          
394         	1000        	0.9746      	0.02537     	0.3778      	0.6222      	99          
395         	1000        	0.9741      	0.02588     	0.3779      	0.6221      	99          
396         	1000        	0.9738      	0.02617     	0.3797      	0.6203      	99          
397         	1000        	0.9741      	0.02593     	0.3784      	0.6216      	99          
398         	1000        	0.9742      	0.02581     	0.3793      	0.6207      	99          
399         	1000        	0.9743      	0.02571     	0.3795      	0.6205      	99          
400         	1000        	0.9742      	0.02582     	0.3806      	0.6194      	99          
401         	1000        	0.9739      	0.02612     	0.3789      	0.6211      	99          
402         	1000        	0.974       	0.02598     	0.3776      	0.6224      	99          
403         	1000        	0.9743      	0.02572     	0.3772      	0.6228      	99          
404         	1000        	0.9745      	0.02548     	0.3775      	0.6225      	99          
405         	1000        	0.9744      	0.02563     	0.3787      	0.6213      	99          
406         	1000        	0.9743      	0.02573     	0.3785      	0.6215      	99          
407         	1000        	0.9746      	0.02544     	0.3771      	0.6229      	99          
408         	1000        	0.9742      	0.02584     	0.3784      	0.6216      	99          
409         	1000        	0.9746      	0.02537     	0.3773      	0.6227      	99          
410         	1000        	0.9745      	0.02547     	0.3772      	0.6228      	99          
411         	1000        	0.9744      	0.02565     	0.3781      	0.6219      	99          
412         	1000        	0.9744      	0.02559     	0.3787      	0.6213      	99          
413         	1000        	0.9743      	0.02569     	0.3783      	0.6217      	99          
414         	1000        	0.9739      	0.02613     	0.3781      	0.6219      	99          
415         	1000        	0.9742      	0.02581     	0.3785      	0.6215      	99          
416         	1000        	0.9743      	0.0257      	0.3784      	0.6216      	99          
417         	1000        	0.9743      	0.02571     	0.379       	0.621       	99          
418         	1000        	0.9736      	0.02643     	0.3792      	0.6208      	99          
419         	1000        	0.9739      	0.02607     	0.379       	0.621       	99          
420         	1000        	0.974       	0.02597     	0.3787      	0.6213      	99          
421         	1000        	0.974       	0.02598     	0.3785      	0.6215      	99          
422         	1000        	0.974       	0.02604     	0.3769      	0.6231      	99          
423         	1000        	0.9743      	0.02571     	0.3779      	0.6221      	99          
424         	1000        	0.9747      	0.02525     	0.3785      	0.6215      	99          
425         	1000        	0.9746      	0.02536     	0.3784      	0.6216      	99          
426         	1000        	0.9743      	0.02566     	0.3787      	0.6213      	99          
427         	1000        	0.9741      	0.02588     	0.3794      	0.6206      	99          
428         	1000        	0.9743      	0.02569     	0.3797      	0.6203      	99          
429         	1000        	0.9748      	0.02517     	0.3803      	0.6197      	99          
430         	1000        	0.9751      	0.02488     	0.3802      	0.6198      	99          
431         	1000        	0.9757      	0.0243      	0.38        	0.62        	99          
432         	1000        	0.976       	0.02402     	0.3807      	0.6193      	99          
433         	1000        	0.9758      	0.02423     	0.3798      	0.6202      	99          
434         	1000        	0.9756      	0.02436     	0.3803      	0.6197      	99          
435         	1000        	0.9756      	0.02444     	0.3794      	0.6206      	99          
436         	1000        	0.9754      	0.02463     	0.3787      	0.6213      	99          
437         	1000        	0.9754      	0.02464     	0.3799      	0.6201      	99          
438         	1000        	0.9757      	0.02433     	0.3802      	0.6198      	99          
439         	1000        	0.9759      	0.02415     	0.3806      	0.6194      	99          
440         	1000        	0.9761      	0.0239      	0.3802      	0.6198      	99          
441         	1000        	0.9766      	0.02345     	0.3797      	0.6203      	99          
442         	1000        	0.9764      	0.02365     	0.3785      	0.6215      	99          
443         	1000        	0.976       	0.02396     	0.3784      	0.6216      	99          
444         	1000        	0.9759      	0.02405     	0.3776      	0.6224      	99          
445         	1000        	0.976       	0.02398     	0.3757      	0.6243      	99          
446         	1000        	0.9757      	0.02426     	0.3746      	0.6254      	99          
447         	1000        	0.9755      	0.02448     	0.3744      	0.6256      	99          
448         	1000        	0.9756      	0.02438     	0.3744      	0.6256      	99          
449         	1000        	0.9756      	0.0244      	0.3751      	0.6249      	99          
450         	1000        	0.9759      	0.0241      	0.374       	0.626       	99          
451         	1000        	0.9762      	0.02379     	0.3743      	0.6257      	99          
452         	1000        	0.9757      	0.02431     	0.3725      	0.6275      	99          
453         	1000        	0.9756      	0.02436     	0.3729      	0.6271      	99          
454         	1000        	0.9758      	0.02425     	0.3739      	0.6261      	99          
455         	1000        	0.9759      	0.02411     	0.3732      	0.6268      	99          
456         	1000        	0.9757      	0.02434     	0.3731      	0.6269      	99          
457         	1000        	0.9759      	0.02415     	0.3734      	0.6266      	99          
458         	1000        	0.9752      	0.02481     	0.3749      	0.6251      	99          
459         	1000        	0.9754      	0.0246      	0.3756      	0.6244      	99          
460         	1000        	0.9756      	0.02444     	0.375       	0.625       	99          
461         	1000        	0.9754      	0.02458     	0.3753      	0.6247      	99          
462         	1000        	0.9753      	0.02471     	0.3779      	0.6221      	99          
463         	1000        	0.9748      	0.02516     	0.3772      	0.6228      	99          
464         	1000        	0.9746      	0.02544     	0.3754      	0.6246      	99          
465         	1000        	0.9744      	0.02563     	0.3756      	0.6244      	99          
466         	1000        	0.9744      	0.02558     	0.3758      	0.6242      	99          
467         	1000        	0.9743      	0.02568     	0.3749      	0.6251      	99          
468         	1000        	0.9744      	0.02562     	0.3754      	0.6246      	99          
469         	1000        	0.9751      	0.02485     	0.3757      	0.6243      	99          
470         	1000        	0.9751      	0.02492     	0.3759      	0.6241      	99          
471         	1000        	0.9751      	0.02491     	0.375       	0.625       	99          
472         	1000        	0.9749      	0.02507     	0.3746      	0.6254      	99          
473         	1000        	0.9746      	0.02541     	0.3753      	0.6247      	99          
474         	1000        	0.9742      	0.0258      	0.375       	0.625       	99          
475         	1000        	0.9743      	0.02568     	0.3742      	0.6258      	99          
476         	1000        	0.9748      	0.02518     	0.3739      	0.6261      	99          
477         	1000        	0.9746      	0.02541     	0.373       	0.627       	99          
478         	1000        	0.9744      	0.02559     	0.3731      	0.6269      	99          
479         	1000        	0.9741      	0.02589     	0.3723      	0.6277      	99          
480         	1000        	0.9735      	0.02653     	0.3711      	0.6289      	99          
