replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	445         	10          	0.01955     	0.0209      	0.01819     
1           	446         	10          	0.01934     	0.02181     	0.01684     
1           	447         	10          	0.01861     	0.01981     	0.0174      
1           	448         	10          	0.01779     	0.01948     	0.01607     
1           	449         	10          	0.01746     	0.01836     	0.01655     
1           	450         	10          	0.01713     	0.01848     	0.01576     
1           	451         	10          	0.01712     	0.01838     	0.01584     
1           	452         	10          	0.01768     	0.01981     	0.01553     
1           	453         	10          	0.01712     	0.01978     	0.01443     
1           	454         	10          	0.01685     	0.02022     	0.01344     
1           	455         	10          	0.01724     	0.0212      	0.01323     
1           	456         	10          	0.01702     	0.0208      	0.01319     
1           	457         	10          	0.01625     	0.01982     	0.01265     
1           	458         	10          	0.0164      	0.02008     	0.01268     
1           	459         	10          	0.01715     	0.01999     	0.01427     
1           	460         	10          	0.0173      	0.01998     	0.01458     
1           	461         	10          	0.01785     	0.02165     	0.01399     
1           	462         	10          	0.01809     	0.02245     	0.01368     
1           	463         	10          	0.01841     	0.02351     	0.01325     
1           	464         	10          	0.01832     	0.02332     	0.01326     
1           	465         	10          	0.01868     	0.02403     	0.01326     
1           	466         	10          	0.01937     	0.02481     	0.01384     
1           	467         	10          	0.01993     	0.02561     	0.01417     
1           	468         	10          	0.02056     	0.02576     	0.01529     
1           	469         	10          	0.02152     	0.02728     	0.01569     
1           	470         	10          	0.02071     	0.02539     	0.01598     
1           	471         	10          	0.02106     	0.02629     	0.01577     
1           	472         	10          	0.02162     	0.02571     	0.01748     
1           	473         	10          	0.02264     	0.02787     	0.01735     
1           	474         	10          	0.022       	0.02659     	0.01736     
1           	475         	10          	0.02341     	0.02777     	0.019       
1           	476         	10          	0.02331     	0.0283      	0.01826     
1           	477         	10          	0.02446     	0.02873     	0.02014     
1           	478         	10          	0.02445     	0.02792     	0.02094     
1           	479         	10          	0.02417     	0.02782     	0.02048     
1           	480         	10          	0.02414     	0.02735     	0.0209      
1           	481         	10          	0.02377     	0.02733     	0.02017     
1           	482         	10          	0.02431     	0.02805     	0.02053     
1           	483         	10          	0.02439     	0.02955     	0.01917     
1           	484         	10          	0.02433     	0.02883     	0.01977     
1           	485         	10          	0.02438     	0.02885     	0.01986     
1           	486         	10          	0.02479     	0.02934     	0.02018     
1           	487         	10          	0.0238      	0.02704     	0.02052     
1           	488         	10          	0.02387     	0.02757     	0.02013     
1           	489         	10          	0.02347     	0.02709     	0.0198      
1           	490         	10          	0.02306     	0.02657     	0.01952     
1           	491         	10          	0.02296     	0.0272      	0.01868     
1           	492         	10          	0.02385     	0.02839     	0.01927     
1           	493         	10          	0.02355     	0.02633     	0.02075     
1           	494         	10          	0.02363     	0.02664     	0.0206      
1           	495         	10          	0.02484     	0.02762     	0.02203     
1           	496         	10          	0.02446     	0.02735     	0.02154     
1           	497         	10          	0.02416     	0.02562     	0.02268     
1           	498         	10          	0.02403     	0.02504     	0.02302     
1           	499         	10          	0.02317     	0.024       	0.02232     
1           	500         	10          	0.02278     	0.0238      	0.02176     
1           	501         	10          	0.02341     	0.02484     	0.02196     
1           	502         	10          	0.02335     	0.0249      	0.02178     
1           	503         	10          	0.02251     	0.02403     	0.02097     
1           	504         	10          	0.02157     	0.0227      	0.02043     
1           	505         	10          	0.02149     	0.02338     	0.01957     
1           	506         	10          	0.02143     	0.02315     	0.01968     
1           	507         	10          	0.02232     	0.02483     	0.01979     
1           	508         	10          	0.023       	0.02565     	0.02034     
1           	509         	10          	0.023       	0.02589     	0.0201      
1           	510         	10          	0.02254     	0.02467     	0.02039     
1           	511         	10          	0.02392     	0.02535     	0.02247     
1           	512         	10          	0.02342     	0.02494     	0.0219      
1           	513         	10          	0.02383     	0.02565     	0.02199     
1           	514         	10          	0.02388     	0.02616     	0.02159     
1           	515         	10          	0.02341     	0.02643     	0.02038     
1           	516         	10          	0.02467     	0.02697     	0.02237     
1           	517         	10          	0.02486     	0.02774     	0.02197     
1           	518         	10          	0.02452     	0.02722     	0.02182     
1           	519         	10          	0.02357     	0.02619     	0.02094     
1           	520         	10          	0.02337     	0.02583     	0.0209      
1           	521         	10          	0.02206     	0.02372     	0.0204      
1           	522         	10          	0.0216      	0.02337     	0.01982     
1           	523         	10          	0.02149     	0.02341     	0.01956     
1           	524         	10          	0.02135     	0.02301     	0.01967     
1           	525         	10          	0.02107     	0.02258     	0.01954     
1           	526         	10          	0.02045     	0.0211      	0.01979     
1           	527         	10          	0.02168     	0.02355     	0.01979     
1           	528         	10          	0.02178     	0.02373     	0.01981     
1           	529         	10          	0.02105     	0.02218     	0.01992     
1           	530         	10          	0.02092     	0.02142     	0.02041     
1           	531         	10          	0.02121     	0.02016     	0.02228     
1           	532         	10          	0.02141     	0.02039     	0.02244     
1           	533         	10          	0.0212      	0.01984     	0.02257     
1           	534         	10          	0.02163     	0.02045     	0.02282     
1           	535         	10          	0.02262     	0.02169     	0.02357     
1           	536         	10          	0.0231      	0.0232      	0.02299     
1           	537         	10          	0.02186     	0.02091     	0.02281     
1           	538         	10          	0.02297     	0.02172     	0.02423     
1           	539         	10          	0.02192     	0.01943     	0.02442     
1           	540         	10          	0.02279     	0.02139     	0.02421     
1           	541         	10          	0.02385     	0.02198     	0.02574     
1           	542         	10          	0.02321     	0.02158     	0.02486     
1           	543         	10          	0.02326     	0.02104     	0.0255      
1           	544         	10          	0.0235      	0.02088     	0.02616     
1           	545         	10          	0.02302     	0.02069     	0.02539     
1           	546         	10          	0.0229      	0.02038     	0.02546     
1           	547         	10          	0.02285     	0.02033     	0.02539     
1           	548         	10          	0.02125     	0.01818     	0.02435     
1           	549         	10          	0.02025     	0.01749     	0.02303     
1           	550         	10          	0.02044     	0.01786     	0.02305     
1           	551         	9.95        	0.02098     	0.01767     	0.02432     
1           	552         	10          	0.02119     	0.01943     	0.02296     
1           	553         	10          	0.021       	0.01888     	0.02314     
1           	554         	10          	0.02184     	0.02097     	0.02271     
1           	555         	10          	0.02185     	0.01993     	0.0238      
1           	556         	10          	0.02187     	0.02086     	0.02289     
1           	557         	10          	0.02163     	0.02227     	0.02099     
1           	558         	10          	0.02143     	0.02298     	0.01987     
1           	559         	10          	0.02104     	0.02236     	0.01971     
1           	560         	10          	0.02056     	0.02235     	0.01875     
1           	561         	10          	0.0208      	0.02223     	0.01937     
1           	562         	10          	0.02063     	0.0229      	0.01833     
1           	563         	10          	0.01977     	0.02262     	0.01689     
1           	564         	10          	0.0201      	0.02264     	0.01754     
1           	565         	10          	0.01983     	0.02349     	0.01614     
1           	566         	10          	0.01976     	0.02355     	0.01592     
1           	567         	9.95        	0.01957     	0.02349     	0.0156      
1           	568         	9.95        	0.01817     	0.02171     	0.0146      
1           	569         	10          	0.01783     	0.02102     	0.0146      
1           	570         	9.95        	0.01843     	0.02091     	0.01592     
1           	571         	10          	0.01892     	0.02144     	0.01637     
1           	572         	9.95        	0.01897     	0.02212     	0.01579     
1           	573         	10          	0.01907     	0.02223     	0.01587     
1           	574         	10          	0.02064     	0.02477     	0.01648     
1           	575         	10          	0.02077     	0.02507     	0.01642     
1           	576         	10          	0.02088     	0.02546     	0.01623     
1           	577         	9.95        	0.02082     	0.02533     	0.01624     
1           	578         	10          	0.02102     	0.02505     	0.01694     
1           	579         	9.95        	0.02122     	0.02521     	0.01718     
1           	580         	10          	0.02125     	0.02535     	0.0171      
