replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	943         	11          	0.6736      	0.6722      
1           	944         	11          	0.6691      	0.6736      
1           	945         	11          	0.6678      	0.6709      
1           	946         	11          	0.6743      	0.6743      
1           	947         	11          	0.6782      	0.6773      
1           	948         	11          	0.6731      	0.6793      
1           	949         	11          	0.6843      	0.6778      
1           	950         	11          	0.674       	0.678       
1           	951         	11          	0.6762      	0.6815      
1           	952         	11          	0.6837      	0.6805      
1           	953         	11          	0.6794      	0.6834      
1           	954         	11          	0.6876      	0.6894      
1           	955         	11          	0.6908      	0.6892      
1           	956         	11          	0.6874      	0.6871      
1           	957         	11          	0.6874      	0.6893      
1           	958         	11          	0.6801      	0.6839      
1           	959         	11          	0.6862      	0.6844      
1           	960         	11          	0.6818      	0.679       
1           	961         	11          	0.6825      	0.6805      
1           	962         	11          	0.6824      	0.6837      
1           	963         	11          	0.6907      	0.6895      
1           	964         	11          	0.6953      	0.6923      
1           	965         	11          	0.6978      	0.6968      
1           	966         	11          	0.703       	0.6997      
1           	967         	11          	0.7001      	0.7027      
1           	968         	11          	0.7002      	0.7047      
1           	969         	11          	0.6975      	0.7037      
1           	970         	11          	0.7009      	0.7016      
1           	971         	11          	0.7001      	0.7027      
1           	972         	11          	0.6996      	0.6974      
1           	973         	11          	0.6965      	0.6956      
1           	974         	11          	0.6975      	0.6961      
1           	975         	11          	0.6987      	0.6996      
1           	976         	11          	0.7015      	0.7007      
1           	977         	11          	0.7017      	0.7026      
1           	978         	11          	0.7093      	0.7018      
1           	979         	11          	0.6987      	0.7002      
1           	980         	11          	0.6958      	0.6964      
1           	981         	11          	0.6937      	0.6918      
1           	982         	11          	0.6885      	0.6872      
1           	983         	11          	0.6905      	0.6891      
1           	984         	11          	0.6884      	0.6861      
1           	985         	11          	0.6841      	0.6842      
1           	986         	11          	0.676       	0.684       
1           	987         	11          	0.6897      	0.6882      
1           	988         	11          	0.6923      	0.6899      
1           	989         	11          	0.6891      	0.69        
1           	990         	11          	0.689       	0.6889      
1           	991         	11          	0.6921      	0.6941      
1           	992         	11          	0.6953      	0.6927      
