generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
169         	1.929       	3.052e+05   	0.4168      	4.65e+04    	5.52e+04    	4.006e+04   	3.296e+04   	1.475e+04   	1.65e+04    	15          
170         	1.796       	2.979e+05   	0.8702      	4.663e+04   	5.542e+04   	3.807e+04   	3.211e+04   	2.713e+04   	1.526e+04   	15          
171         	1.662       	2.996e+05   	0.6988      	4.604e+04   	5.562e+04   	3.635e+04   	3.017e+04   	2.69e+04    	1.406e+04   	15          
172         	1.716       	2.996e+05   	0.7976      	4.372e+04   	5.578e+04   	3.386e+04   	2.912e+04   	2.672e+04   	1.292e+04   	15          
173         	2.062       	3.316e+05   	0.551       	4.416e+04   	5.622e+04   	3.827e+04   	2.758e+04   	2.66e+04    	2.458e+04   	15          
174         	1.733       	3.39e+05    	0.755       	4.453e+04   	5.636e+04   	3.736e+04   	2.698e+04   	2.604e+04   	2.321e+04   	15          
175         	1.76        	3.496e+05   	0.3319      	4.476e+04   	5.615e+04   	3.629e+04   	2.646e+04   	2.581e+04   	2.157e+04   	15          
176         	1.76        	3.441e+05   	0.9348      	4.457e+04   	5.646e+04   	3.578e+04   	3.624e+04   	2.509e+04   	2.009e+04   	15          
177         	1.662       	3.358e+05   	0.5345      	4.449e+04   	5.424e+04   	4.354e+04   	3.571e+04   	2.407e+04   	1.83e+04    	15          
178         	1.929       	3.528e+05   	0.7056      	4.296e+04   	5.462e+04   	4.271e+04   	4.407e+04   	2.264e+04   	1.671e+04   	15          
179         	1.627       	3.682e+05   	0.776       	4.338e+04   	5.479e+04   	5.295e+04   	4.334e+04   	2.126e+04   	1.542e+04   	15          
180         	1.662       	4.125e+05   	0.3699      	4.394e+04   	5.548e+04   	5.177e+04   	4.832e+04   	1.965e+04   	1.453e+04   	15          
181         	1.849       	4.051e+05   	0.6078      	4.417e+04   	5.514e+04   	5.103e+04   	4.693e+04   	1.793e+04   	1.35e+04    	15          
182         	2.267       	3.923e+05   	0.612       	4.516e+04   	5.728e+04   	4.995e+04   	4.526e+04   	1.653e+04   	1.25e+04    	15          
183         	2.089       	4.13e+05    	0.4565      	4.634e+04   	5.726e+04   	4.88e+04    	4.33e+04    	1.589e+04   	2.422e+04   	15          
184         	2.249       	4.105e+05   	0.9134      	4.595e+04   	5.729e+04   	4.784e+04   	4.078e+04   	2.72e+04    	3.292e+04   	15          
185         	1.796       	4.331e+05   	0.5488      	4.719e+04   	5.682e+04   	4.629e+04   	4.591e+04   	2.66e+04    	3.176e+04   	15          
186         	2.507       	4.573e+05   	0.7101      	4.876e+04   	5.734e+04   	5.065e+04   	4.377e+04   	2.653e+04   	3.092e+04   	15          
187         	2.516       	4.193e+05   	0.6423      	4.946e+04   	5.753e+04   	4.915e+04   	4.16e+04    	2.631e+04   	3.833e+04   	15          
188         	2.356       	4.258e+05   	0.4381      	5.041e+04   	5.747e+04   	4.745e+04   	3.974e+04   	2.572e+04   	3.763e+04   	15          
189         	2.756       	4.408e+05   	0.9542      	5.088e+04   	5.558e+04   	4.558e+04   	3.797e+04   	2.506e+04   	3.692e+04   	15          
190         	2.489       	4.462e+05   	1.382       	5.169e+04   	5.43e+04    	4.441e+04   	3.683e+04   	2.424e+04   	3.562e+04   	15          
191         	1.733       	4.602e+05   	0.6978      	5.15e+04    	5.489e+04   	4.432e+04   	3.604e+04   	2.32e+04    	3.473e+04   	15          
192         	2.24        	4.527e+05   	0.7182      	5.526e+04   	5.35e+04    	4.446e+04   	4.166e+04   	2.206e+04   	3.429e+04   	15          
193         	1.796       	4.471e+05   	0.4487      	5.13e+04    	5.342e+04   	4.411e+04   	4.125e+04   	2.023e+04   	3.264e+04   	15          
194         	1.893       	4.57e+05    	0.615       	5.099e+04   	5.41e+04    	4.39e+04    	4.124e+04   	1.828e+04   	3.048e+04   	15          
195         	1.633       	3.596e+05   	0.4823      	5.354e+04   	5.399e+04   	4.616e+04   	3.401e+04   	3675        	3.387e+04   	14          
196         	1.209       	3.398e+05   	0.5999      	5.33e+04    	5.343e+04   	5.226e+04   	3.252e+04   	2319        	3.191e+04   	14          
197         	1.454       	3.597e+05   	0.411       	5.35e+04    	5.319e+04   	5.508e+04   	3.028e+04   	1350        	3.076e+04   	14          
198         	1.781       	3.603e+05   	0.6079      	5.354e+04   	5.206e+04   	5.433e+04   	2.832e+04   	695.7       	2.903e+04   	14          
199         	1.265       	3.585e+05   	0.6762      	5.367e+04   	5.203e+04   	5.419e+04   	2.627e+04   	297.2       	2.788e+04   	14          
