generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
192         	4.6         	1933        	1.749       	192         	242.9       	338.8       	339.1       	428.2       	392.1       	15          
193         	4.733       	1920        	1.806       	160.3       	246.4       	343.2       	344.6       	430.1       	395.3       	15          
194         	4.8         	1940        	1.557       	159.9       	251.2       	346.5       	350.9       	431.6       	399.7       	15          
195         	4.714       	2032        	1.906       	172.6       	274.6       	340.8       	382.9       	467.9       	392.8       	14          
196         	4.929       	2018        	1.768       	172.3       	277.4       	309.8       	387.4       	474.1       	397.1       	14          
197         	4.786       	1996        	2.06        	172.5       	281.1       	276.8       	390.4       	477.1       	398.6       	14          
198         	4.929       	2013        	1.592       	172.8       	282.9       	278.9       	397.1       	478.6       	402.4       	14          
199         	4.857       	2032        	1.715       	172.8       	287.5       	283.8       	403.5       	477.6       	407.3       	14          
200         	4.857       	2001        	1.83        	173.2       	292.2       	288.7       	351.3       	481.5       	414.1       	14          
201         	4.786       	1976        	1.818       	173.1       	295.8       	289.8       	317.1       	482.6       	417.6       	14          
202         	4.786       	1947        	1.835       	172.1       	299.8       	296.1       	309.3       	447.4       	422.6       	14          
203         	4.857       	1958        	1.652       	170.9       	302.9       	299.6       	311.6       	449.4       	423.4       	14          
204         	4.857       	1977        	1.993       	173.4       	302.1       	309.8       	312.1       	449.4       	429.8       	14          
205         	4.786       	1992        	1.665       	173.6       	305.1       	316.6       	312.6       	449.5       	434.6       	14          
206         	4.929       	2006        	1.639       	174.7       	307.7       	320.2       	314.1       	449.6       	439.9       	14          
207         	4.643       	1950        	1.862       	174         	308.8       	325.9       	248.5       	449.6       	442.8       	14          
208         	4.643       	1927        	1.807       	173.5       	309.8       	329.5       	217         	450.1       	446.8       	14          
209         	4.571       	1908        	1.732       	137.8       	311.9       	333.5       	222.4       	451.1       	451.2       	14          
210         	4.714       	1890        	1.951       	140.4       	310.9       	339.4       	193.6       	450.6       	455.6       	14          
211         	4.643       	1878        	1.919       	142.4       	312.5       	344.2       	200.3       	416.4       	462.2       	14          
212         	4.643       	1859        	1.89        	110.7       	311.2       	343.6       	210.9       	415.8       	466.4       	14          
213         	4.714       	1885        	1.338       	113.8       	311.6       	346         	221.9       	421.8       	469.9       	14          
214         	4.857       	1909        	1.476       	117.4       	312.8       	346.6       	236.9       	424.1       	471.6       	14          
215         	4.571       	1905        	1.805       	121.3       	312.4       	347.4       	252.4       	429.4       	441.9       	14          
216         	4.643       	1937        	1.552       	125.1       	313.4       	348.9       	269.7       	434.1       	445.9       	14          
217         	4.643       	1928        	1.593       	129.3       	312.4       	347.4       	287         	401.5       	450.4       	14          
218         	4.786       	1947        	1.633       	131.4       	312.5       	347.3       	302.1       	404.5       	449.2       	14          
219         	4.714       	1977        	2.032       	131.7       	313.1       	346.9       	319.1       	412.7       	453.6       	14          
220         	4.857       	1975        	1.813       	134         	316.4       	311.4       	337.3       	420.5       	455.3       	14          
221         	4.714       	1996        	1.679       	135.7       	318         	310.7       	351.6       	428.4       	451.1       	14          
222         	4.5         	1949        	1.808       	136.9       	318.1       	309.2       	365.4       	433.1       	386.6       	14          
223         	4.857       	1977        	1.705       	136.9       	321.6       	309.1       	376.5       	441.4       	391.1       	14          
224         	4.786       	1965        	1.968       	139.8       	324.4       	311.9       	385.4       	409.1       	394.2       	14          
225         	5           	1956        	1.789       	139.9       	329.1       	314.3       	395.6       	416.4       	361.1       	14          
226         	4.929       	1975        	1.963       	142.1       	331.4       	313.5       	401.5       	419.1       	367.4       	14          
227         	4.929       	1996        	1.852       	144.4       	334.7       	315.4       	406.1       	423.1       	372.3       	14          
228         	4.714       	1986        	1.73        	146.3       	336.9       	318.9       	412.6       	395.1       	376.6       	14          
229         	4.929       	1997        	1.512       	136.4       	339.1       	321.1       	413.2       	401.1       	385.6       	14          
