replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1544        	9           	0.7292      	0.73        
1           	1545        	9           	0.7252      	0.7289      
1           	1546        	9           	0.723       	0.7278      
1           	1547        	9           	0.7317      	0.7274      
1           	1548        	9           	0.7318      	0.7249      
1           	1549        	10          	0.7215      	0.7222      
1           	1550        	10          	0.7266      	0.7252      
1           	1551        	10          	0.7225      	0.7276      
1           	1552        	10          	0.7328      	0.7298      
1           	1553        	10          	0.7256      	0.7298      
1           	1554        	10          	0.7383      	0.7338      
1           	1555        	10          	0.7308      	0.7344      
1           	1556        	10          	0.7276      	0.7304      
1           	1557        	10          	0.724       	0.7324      
1           	1558        	10          	0.7339      	0.7343      
1           	1559        	10          	0.7365      	0.7391      
1           	1560        	10          	0.7408      	0.7417      
1           	1561        	9           	0.7406      	0.7397      
1           	1562        	9           	0.7325      	0.7388      
1           	1563        	9           	0.7364      	0.74        
1           	1564        	9           	0.7443      	0.7422      
1           	1565        	9           	0.7511      	0.7487      
1           	1566        	9           	0.7527      	0.7498      
1           	1567        	10          	0.755       	0.7504      
1           	1568        	10          	0.7516      	0.7486      
1           	1569        	9           	0.7416      	0.7512      
1           	1570        	9           	0.7501      	0.7509      
1           	1571        	9           	0.7519      	0.7487      
1           	1572        	9           	0.7465      	0.7462      
1           	1573        	9           	0.7571      	0.7489      
1           	1574        	9           	0.7487      	0.7501      
1           	1575        	9           	0.7476      	0.7488      
1           	1576        	9           	0.747       	0.749       
1           	1577        	9           	0.7479      	0.7499      
1           	1578        	9           	0.7509      	0.7477      
1           	1579        	9           	0.7465      	0.7484      
1           	1580        	9           	0.7546      	0.7507      
1           	1581        	9           	0.7507      	0.7511      
1           	1582        	9           	0.749       	0.7494      
1           	1583        	9           	0.7455      	0.7493      
1           	1584        	9           	0.7495      	0.751       
1           	1585        	9           	0.7495      	0.752       
1           	1586        	9           	0.7457      	0.7493      
1           	1587        	9           	0.7566      	0.7499      
1           	1588        	9           	0.7497      	0.7524      
1           	1589        	9           	0.7534      	0.7557      
1           	1590        	9           	0.7571      	0.7565      
1           	1591        	9           	0.7544      	0.7553      
1           	1592        	9           	0.7573      	0.7575      
1           	1593        	9           	0.7588      	0.7604      
1           	1594        	9           	0.7625      	0.7625      
1           	1595        	9           	0.764       	0.7641      
1           	1596        	9           	0.76        	0.7631      
1           	1597        	9           	0.7643      	0.766       
1           	1598        	9           	0.7673      	0.7699      
1           	1599        	9           	0.7721      	0.7705      
1           	1600        	9           	0.7711      	0.7698      
1           	1601        	9           	0.7685      	0.7721      
1           	1602        	9           	0.7706      	0.7722      
1           	1603        	9           	0.7715      	0.7721      
1           	1604        	9           	0.7657      	0.7718      
1           	1605        	9           	0.7744      	0.7713      
1           	1606        	9           	0.769       	0.7737      
1           	1607        	9           	0.7688      	0.7709      
1           	1608        	9           	0.7655      	0.7687      
1           	1609        	9           	0.7657      	0.7685      
1           	1610        	9           	0.7626      	0.7676      
1           	1611        	9           	0.7689      	0.7679      
1           	1612        	9           	0.772       	0.7678      
1           	1613        	9           	0.7682      	0.7691      
1           	1614        	9           	0.7731      	0.7695      
1           	1615        	9           	0.7711      	0.7692      
1           	1616        	9           	0.7778      	0.7698      
1           	1617        	9           	0.7757      	0.7686      
1           	1618        	9           	0.769       	0.7679      
1           	1619        	9           	0.7682      	0.7687      
1           	1620        	9           	0.77        	0.7701      
1           	1621        	9           	0.765       	0.771       
1           	1622        	9           	0.7669      	0.773       
1           	1623        	9           	0.7764      	0.7757      
1           	1624        	10          	0.783       	0.7763      
1           	1625        	9           	0.7758      	0.7756      
1           	1626        	9           	0.7716      	0.7754      
1           	1627        	9           	0.7792      	0.7752      
1           	1628        	9           	0.7724      	0.7746      
1           	1629        	10          	0.7753      	0.7748      
1           	1630        	10          	0.7709      	0.7731      
1           	1631        	9           	0.7816      	0.7731      
1           	1632        	9           	0.7749      	0.7751      
1           	1633        	9           	0.7776      	0.7765      
1           	1634        	9           	0.7755      	0.7747      
1           	1635        	9           	0.7768      	0.7758      
1           	1636        	9           	0.7784      	0.7745      
1           	1637        	9           	0.7664      	0.7765      
1           	1638        	9           	0.7756      	0.7743      
1           	1639        	9           	0.782       	0.7753      
1           	1640        	9           	0.7642      	0.7761      
1           	1641        	9           	0.7766      	0.7771      
1           	1642        	9           	0.772       	0.7771      
1           	1643        	9           	0.7744      	0.7781      
1           	1644        	9           	0.7794      	0.7772      
1           	1645        	9           	0.7795      	0.7762      
1           	1646        	9           	0.778       	0.7738      
1           	1647        	9           	0.7732      	0.7745      
1           	1648        	9           	0.7708      	0.7747      
1           	1649        	9           	0.7748      	0.773       
1           	1650        	9           	0.7641      	0.7695      
1           	1651        	9           	0.7687      	0.7678      
1           	1652        	9           	0.7676      	0.7692      
1           	1653        	9           	0.7633      	0.7701      
1           	1654        	10          	0.7719      	0.7707      
1           	1655        	9           	0.7829      	0.7741      
1           	1656        	9           	0.7753      	0.7736      
1           	1657        	9           	0.7785      	0.7755      
1           	1658        	9           	0.7614      	0.7758      
1           	1659        	9           	0.7784      	0.7744      
1           	1660        	9           	0.7752      	0.7752      
1           	1661        	9           	0.7804      	0.7754      
1           	1662        	9           	0.7708      	0.7746      
1           	1663        	9           	0.7729      	0.7759      
1           	1664        	9           	0.7777      	0.774       
1           	1665        	9           	0.7707      	0.7725      
1           	1666        	9           	0.7707      	0.7725      
1           	1667        	9           	0.7766      	0.7757      
1           	1668        	9           	0.7725      	0.7753      
1           	1669        	9           	0.7752      	0.7742      
1           	1670        	9           	0.7733      	0.7736      
1           	1671        	9           	0.7758      	0.7758      
1           	1672        	9           	0.7753      	0.7752      
1           	1673        	9           	0.78        	0.7768      
1           	1674        	9           	0.7841      	0.776       
1           	1675        	9           	0.777       	0.7761      
1           	1676        	9           	0.7666      	0.7733      
1           	1677        	10          	0.7722      	0.7722      
1           	1678        	9           	0.767       	0.7715      
1           	1679        	9           	0.7791      	0.7734      
1           	1680        	9           	0.7768      	0.7738      
1           	1681        	9           	0.7763      	0.7756      
1           	1682        	9           	0.7711      	0.7765      
1           	1683        	9           	0.7764      	0.7783      
